question,answer,contexts,ground_truth,answer_relevancy,answer_similarity,answer_correctness,,,,,,
Which technique is associated with the 'collection' kill chain phase?,Automated Collection,"[""['Automated Collection']""]",Automated Collection,0.790157336,1,1,,,,,,
What phase in the kill chain does the technique 'Block Reporting Message' belong to?,Inhibition,"[""['Impact']""]",Inhibit-response-function,0,0.876122482,0.96903062,,,,,,
Identify a technique with the kill chain phase 'impair-process-control'.,Manipulation of View,"[""['Loss of Safety']""]",Unauthorized Command Message,0,0.752349886,0.188087472,,,,,,
Which technique has 'evasion' as its kill chain phase?,Rootkit,"[""['Rootkit']""]","Rootkit, Indicator Removal on Host",0.745994658,0.894866032,0.723716508,,,,,,
In which kill chain phase is the 'Manipulation of View' technique used?,Execution,"[""['Impact']""]",Impact,0,0.862990509,0.215747627,,,,,,
Which technique is associated with the 'initial-access' kill chain phase?,Spearphishing Attachment,"[""['Spearphishing Attachment']""]","Data Historian Compromise, Supply Chain Compromise",0.810173536,0.754664244,0.188666061,,,,,,
What is the kill chain phase for the 'Execution through API' technique?,Execution,"[""['Execution']""]",Execution,0.751473365,1,1,,,,,,
Which technique's kill chain phase is 'impact'?,Data Destruction,"[""['Loss of Productivity and Revenue']""]","Loss of Safety, Loss of Productivity and Revenue",0.738410479,0.803716459,0.200954477,,,,,,
Name a technique related to the 'discovery' kill chain phase.,Network Service Scanning,"[""['Network Service Scanning']""]","Serial Connection Enumeration, Network Service Scanning",0.757311295,0.916103493,0.729025873,,,,,,
Which technique involves the 'execution' kill chain phase?,Execution through API,"[""['Execution through API']""]","Execution through API, Autorun Image",0,0.894841545,0.223710386,,,,,,
Identify a technique with 'evasion' as its kill chain phase.,Indicator Removal on Host,"[""['Indicator Removal on Host']""]","Rootkit, Indicator Removal on Host",0.743444214,0.893548229,0.598387057,,,,,,
Which technique is used in the 'impact' kill chain phase and causes loss of safety?,Loss of Safety,"[""['Loss of Safety']""]",Loss of Safety,0.799167711,1,0.999999695,,,,,,
What kill chain phase is associated with 'Loss of Productivity and Revenue'?,Impact,"[""['Impact']""]",Impact,0,1,1,,,,,,
Which technique uses 'initial-access' as its kill chain phase and involves spearphishing?,Spearphishing Attachment,"[""['Spearphishing Attachment']""]",Spearphishing Attachment,0.84158495,1,1,,,,,,
In which kill chain phase is the 'Drive-by Compromise' technique used?,Initial Access,"[""['Initial-Access']""]",Initial-access,0.774749005,0.971640342,0.992910085,,,,,,
Identify a technique with the 'execution' kill chain phase related to AutoRun.,Autorun Image,"[""['Autorun Image']""]",Autorun Image,0,1,0.25,,,,,,
What is the kill chain phase for the 'Supply Chain Compromise' technique?,Initial Access,"[""['Initial-Access']""]",Initial-access,0.759942359,0.971640342,0.992910085,,,,,,
Name a technique used in the 'collection' kill chain phase.,Serial Connection Enumeration,"[""['Automated Collection']""]","Automated Collection, I/O Image",0,0.772896333,0.193224083,,,,,,
What phase in the kill chain does the technique 'I/O Image' belong to?,Execution,"[""['Collection']""]",Collection,0.778416367,0.823906753,0.205976688,,,,,,
Which technique's kill chain phase is 'initial-access' and involves supply chain compromise?,Supply Chain Compromise,"[""['Supply Chain Compromise']""]",Supply Chain Compromise,0.724952011,1,1,,,,,,
Identify a technique related to 'inhibit-response-function'.,Block Reporting Message,"[""['Block Reporting Message']""]",Rootkit,0,0.738944179,0.184736045,,,,,,
What kill chain phase is associated with the 'Data Destruction' technique?,Impact,"[""['Impact']""]",Inhibit-response-function,0,0.786203945,0.196544509,,,,,,
Which technique is associated with 'discovery' and involves network service scanning?,Network Service Scanning,"[""['Network Service Scanning']""]",Network Service Scanning,0.81058808,1,1,,,,,,
In which kill chain phase is the 'Indicator Removal on Host' technique used?,Evasion,"[""['Evasion']""]",Evasion,0,1,0.25,,,,,,
Which technique involves the 'execution' kill chain phase and uses API?,Execution through API,"[""['Execution through API']""]",Execution through API,0,1,1,,,,,,
Identify a technique with 'impact' as its kill chain phase and relates to safety.,Loss of Safety,"[""['Loss of Safety']""]",Loss of Safety,0,1,1,,,,,,
What phase in the kill chain does the 'Loss of View' technique belong to?,Inhibition,"[""['Impact']""]",Impact,0,0.828398132,0.957099533,,,,,,
Which technique's kill chain phase is 'collection' and involves automated collection?,Automated Collection,"[""['Automated Collection']""]",Automated Collection,0.892263191,1,1,,,,,,
Name a technique related to 'discovery' in the kill chain.,Location Identification,"[""['Location Identification']""]",Serial Connection Enumeration,0.762123541,0.787288606,0.196822793,,,,,,
What is the kill chain phase for the 'Denial of View' technique?,Inhibition,"[""['Impact']""]",Impact,0,0.828398132,0.957099533,,,,,,
Which technique's kill chain phase is 'collection' and involves data historian compromise?,Data Historian Compromise,"[""['Data Historian Compromise']""]",Data Historian Compromise,0,1,1,,,,,,
Identify a technique with the 'evasion' kill chain phase and involves rootkit.,Rootkit,"[""['Rootkit']""]",Rootkit,0.865169554,1,1,,,,,,
In which kill chain phase is the 'Unauthorized Command Message' technique used?,Execution,"[""['Execution']""]",Impair-process-control,0.744247926,0.790304422,0.197576106,,,,,,
What is the kill chain phase for the 'Data Historian Compromise' technique?,Collection,"[""['Collection']""]",Initial-access,0,0.78181811,0.195454527,,,,,,
Which technique is associated with 'impact' and involves loss of productivity?,Loss of Productivity and Revenue,"[""['Loss of Productivity and Revenue']""]",Loss of Productivity and Revenue,0.806119605,1,1,,,,,,
In which kill chain phase is the 'Automated Collection' technique used?,Collection,"[""['Collection']""]",Collection,0.774542281,1,1,,,,,,
Identify a technique with 'evasion' as its kill chain phase.,Indicator Removal on Host,"[""['Indicator Removal on Host']""]",Indicator Removal on Host,0.747253305,1,1,,,,,,
What is the kill chain phase for the 'Loss of Safety' technique?,Impact,"[""['Impact']""]",Impact,0,1,1,,,,,,
Which technique's kill chain phase is 'evasion' and involves hiding indicators on the host?,Indicator Removal on Host,"[""['Rootkit']""]",Indicator Removal on Host,0.822313222,1,1,,,,,,
Name a technique related to 'execution' in the kill chain.,Execution through API,"[""['Execution through API']""]",Execution through API,0,1,1,,,,,,
Which technique involves 'collection' and is related to I/O image capture?,I/O Image,"[""['I/O Image']""]",I/O Image,0,0.999998136,1,,,,,,
In which kill chain phase is the 'Network Service Scanning' technique used?,Discovery,"[""['Discovery']""]",Discovery,0,1,1,,,,,,
What is the kill chain phase for the 'Spearphishing Attachment' technique?,Initial Access,"[""['Initial-Access']""]",Initial-access,0.762882548,0.971640342,0.992910085,,,,,,
Which technique's kill chain phase is 'execution' and uses AutoRun?,Autorun Image,"[""['Autorun Image']""]",Autorun Image,0,0.999997242,1,,,,,,
Name a technique related to 'collection' in the kill chain.,Data Historian Compromise,"[""['Automated Collection']""]",Data Historian Compromise,0,1,1,,,,,,
What is the kill chain phase for the 'Drive-by Compromise' technique?,Initial Access,"[""['Initial-Access']""]",Initial-access,0.763746757,0.971640342,0.992910085,,,,,,
Identify a technique with 'execution' as its kill chain phase.,Execution through API,"[""['Execution through API']""]",Execution,0,0.844490077,0.961134205,,,,,,
What phase in the kill chain does the technique 'Manipulation of View' belong to?,Execution,"[""['Impact']""]",Impact,0,0.862990509,0.965747627,,,,,,
Which technique is associated with 'collection' and involves serial connection enumeration?,Serial Connection Enumeration,"[""['Serial Connection Enumeration']""]",Serial Connection Enumeration,0.882530154,1,0.25,,,,,,
In which kill chain phase is the 'Loss of Productivity and Revenue' technique used?,Impact,"[""['Impact']""]",Impact,0,1,1,,,,,,
Which technique's kill chain phase is 'initial-access' and involves drive-by compromise?,Drive-by Compromise,"[""['Drive-by Compromise']""]",Drive-by Compromise,0.840547375,1,1,,,,,,
What is the kill chain phase for the 'Supply Chain Compromise' technique?,Initial Access,"[""['Initial-Access']""]",Initial-access,0.75460423,0.971644182,,,,,,,
Identify a technique with 'impact' as its kill chain phase.,Loss of Safety,"[""['Loss of Safety']""]",Loss of Safety,0,1,1,,,,,,
Which technique is used in the 'evasion' kill chain phase and involves rootkit?,Rootkit,"[""['Rootkit']""]",Rootkit,0.871737427,0.999997538,1,,,,,,
What kill chain phase is associated with the 'Data Destruction' technique?,Impact,"[""['Impact']""]",Inhibit-response-function,0,0.786178035,0.196544509,,,,,,
Name a technique related to 'initial-access' in the kill chain.,Spearphishing Attachment,"[""['Spearphishing Attachment']""]",Drive-by Compromise,0.785978442,0.759837086,0.939959271,,,,,,
Which technique's kill chain phase is 'collection' and involves I/O image?,I/O Image,"[""['I/O Image']""]",I/O Image,0,1,0.999999349,,,,,,
,,,,0.530790006,0.867247444,0.577152935,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,answer_relevancy,answer_similarity,answer_correctness
,,,,,,,,GPT 4,F,0.530790006,0.867247444,0.577152935
,,,,,,,,,O,0.764971435,0.922486873,0.545002561
,,,,,,,,,C,0.920559771,0.962475728,0.566308708
,,,,,,,,,I,0.868247398,0.904056368,0.507474861
