question,answer,contexts,ground_truth,answer_relevancy,answer_similarity,answer_correctness,,,,,,
What is the technique 'Loss of Safety' described in the MITRE ATT&CK framework?,Actions that disable or impair safety mechanisms.,"[""['Actions that disable or impair safety mechanisms.']""]",Adversaries may compromise safety system functions designed to maintain safe operation of a process when unacceptable or dangerous conditions occur.,0.770628485908979,0.859451977324883,0.214870710743175,,,,,,
What is the technique 'Loss of Productivity and Revenue' described in the MITRE ATT&CK framework?,Disruptions that result in decreased output and financial loss.,"[""['Disruptions that result in decreased output and financial loss.']""]",Adversaries may cause loss of productivity and revenue through disruption and even damage to the availability and integrity of control system operations.,0,0.879289654530039,0.219822413632509,,,,,,
What is the technique 'Spearphishing Attachment' described in the MITRE ATT&CK framework?,Sending malicious attachments to users to compromise systems.,"[""['Sending malicious attachments to users to compromise systems.']""]","Adversaries may use a spearphishing attachment, a variant of spearphishing, as a form of a social engineering attack against specific targets.",0.827573512789879,0.869848365107427,0.217462091276856,,,,,,
What is the technique 'Location Identification' described in the MITRE ATT&CK framework?,Determining the physical or network location of a device or user.,"[""['Determining the physical or network location of a device or user.']""]",Adversaries may perform location identification using device data to inform operations and targeted impact for attacks.,0.831814337714268,0.844878922607153,0.711219730651788,,,,,,
What is the technique 'Autorun Image' described in the MITRE ATT&CK framework?,Using autorun features to execute code automatically when media is inserted.,"[""['Using autorun features to execute code automatically when media is inserted.']""]",Adversaries may leverage AutoRun functionality or scripts to execute malicious code.,0.8276129789371,0.836496143481892,0.709124035870473,,,,,,
What is the technique 'Drive-by Compromise' described in the MITRE ATT&CK framework?,Gaining access through a website that exploits vulnerabilities.,"[""['Gaining access through a website that exploits vulnerabilities.']""]","Adversaries may gain access to a system during a drive-by compromise, when a user visits a website as part of a regular browsing session.",0.773803124428665,0.885186168998498,0.596296542249624,,,,,,
What is the kill chain phase for the technique named 'Rootkit'?,Evasion,"[""['Evasion']""]","Evasion, Inhibit-response-function",0,0.894598385662429,0.723649596415607,,,,,,
Which technique is associated with the 'collection' kill chain phase?,Automated Collection,"[""['Automated Collection']""]",Automated Collection,0.813469306171498,1,1,,,,,,
What phase in the kill chain does the technique 'Block Reporting Message' belong to?,Impact,"[""['Impact']""]",Inhibit-response-function,0,0.786178034524059,0.946544508631014,,,,,,
Identify a technique with the kill chain phase 'impair-process-control'.,Loss of Safety,"[""['Loss of Safety']""]",Unauthorized Command Message,0.722306937945706,0.755446701659092,0.188861675414773,,,,,,
Which technique has 'evasion' as its kill chain phase?,Rootkit,"[""['Rootkit']""]","Rootkit, Indicator Removal on Host",0.745994658216125,0.89486603233,0.2237165080825,,,,,,
In which kill chain phase is the 'Manipulation of View' technique used?,Impact,"[""['Impact']""]",Impact,0,1,0.25,,,,,,
Which technique is associated with the 'initial-access' kill chain phase?,Spearphishing Attachment,"[""['Spearphishing Attachment']""]","Data Historian Compromise, Supply Chain Compromise",0.800784028372142,0.754664244315481,0.18866606107887,,,,,,
What is the kill chain phase for the 'Execution through API' technique?,Execution,"[""['Execution']""]",Execution,0.800923878435479,0.999999999999999,1,,,,,,
Which technique's kill chain phase is 'impact'?,Loss of Productivity and Revenue,"[""['Loss of Productivity and Revenue']""]","Loss of Safety, Loss of Productivity and Revenue",0.714888804773699,0.952197998327694,0.613049499581923,,,,,,
Name a technique related to the 'discovery' kill chain phase.,Network Service Scanning,"[""['Network Service Scanning']""]","Serial Connection Enumeration, Network Service Scanning",0,0.916103492714375,0.729025873178593,,,,,,
Which technique involves the 'execution' kill chain phase?,Execution through API,"[""['Execution through API']""]","Execution through API, Autorun Image",0,0.894852962012822,0.2237103861311,,,,,,
Identify a technique with 'evasion' as its kill chain phase.,Indicator Removal on Host,"[""['Indicator Removal on Host']""]","Rootkit, Indicator Removal on Host",0.749383805889518,0.893548229335938,0.723387057333984,,,,,,
Which technique is used in the 'impact' kill chain phase and causes loss of safety?,Loss of Safety,"[""['Loss of Safety']""]",Loss of Safety,0,1,1,,,,,,
What kill chain phase is associated with 'Loss of Productivity and Revenue'?,Impact,"[""['Impact']""]",Impact,0,1,1,,,,,,
Which technique uses 'initial-access' as its kill chain phase and involves spearphishing?,Spearphishing Attachment,"[""['Spearphishing Attachment']""]",Spearphishing Attachment,0.841618203565274,0.999999999999999,1,,,,,,
In which kill chain phase is the 'Drive-by Compromise' technique used?,Initial-Access,"[""['Initial-Access']""]",Initial-access,0.757600397656657,0.950716196588325,0.237679049147081,,,,,,
Identify a technique with the 'execution' kill chain phase related to AutoRun.,Autorun Image,"[""['Autorun Image']""]",Autorun Image,0,1,1,,,,,,
What is the kill chain phase for the 'Supply Chain Compromise' technique?,Initial-Access,"[""['Initial-Access']""]",Initial-access,0.770540655936988,0.950716196588325,0.987547857067342,,,,,,
Name a technique used in the 'collection' kill chain phase.,Automated Collection,"[""['Automated Collection']""]","Automated Collection, I/O Image",0.810824498851279,0.919976914431217,0.730004970866,,,,,,
What phase in the kill chain does the technique 'I/O Image' belong to?,Collection,"[""['Collection']""]",Collection,0.737484734158989,1,1,,,,,,
Which technique's kill chain phase is 'initial-access' and involves supply chain compromise?,Supply Chain Compromise,"[""['Supply Chain Compromise']""]",Supply Chain Compromise,0.724876182006919,0.999999999999999,1,,,,,,
Identify a technique related to 'inhibit-response-function'.,Block Reporting Message,"[""['Block Reporting Message']""]",Rootkit,0.720642473625777,0.738944179439226,0.184736044859806,,,,,,
What kill chain phase is associated with the 'Data Destruction' technique?,Impact,"[""['Impact']""]",Inhibit-response-function,0,0.786178034524059,0.196544508631014,,,,,,
Which technique is associated with 'discovery' and involves network service scanning?,Network Service Scanning,"[""['Network Service Scanning']""]",Network Service Scanning,0,1,1,,,,,,
In which kill chain phase is the 'Indicator Removal on Host' technique used?,Evasion,"[""['Evasion']""]",Evasion,0,1,0.25,,,,,,
Which technique involves the 'execution' kill chain phase and uses API?,Execution through API,"[""['Execution through API']""]",Execution through API,0,1,1,,,,,,
Identify a technique with 'impact' as its kill chain phase and relates to safety.,Loss of Safety,"[""['Loss of Safety']""]",Loss of Safety,0.753648655124438,1,0.25,,,,,,
What phase in the kill chain does the 'Loss of View' technique belong to?,Impact,"[""['Impact']""]",Impact,0,0.999998311523972,1,,,,,,
Which technique's kill chain phase is 'collection' and involves automated collection?,Automated Collection,"[""['Automated Collection']""]",Automated Collection,0,1,1,,,,,,
Name a technique related to 'discovery' in the kill chain.,Location Identification,"[""['Location Identification']""]",Serial Connection Enumeration,0.761157671524583,0.787291170660495,0.946796130156486,,,,,,
What is the kill chain phase for the 'Denial of View' technique?,Impact,"[""['Impact']""]",Impact,0,1,1,,,,,,
Which technique's kill chain phase is 'collection' and involves data historian compromise?,Data Historian Compromise,"[""['Data Historian Compromise']""]",Data Historian Compromise,0.738428016976515,1,1,,,,,,
Identify a technique with the 'evasion' kill chain phase and involves rootkit.,Rootkit,"[""['Rootkit']""]",Rootkit,0.865169554386388,0.999999999999999,1,,,,,,
In which kill chain phase is the 'Unauthorized Command Message' technique used?,Execution,"[""['Execution']""]",Impair-process-control,0.745881279905556,0.790326791299185,0.197576105541036,,,,,,
What is the kill chain phase for the 'Data Historian Compromise' technique?,Collection,"[""['Collection']""]",Initial-access,0,0.78181810971152,0.19545452742788,,,,,,
Which technique is associated with 'impact' and involves loss of productivity?,Loss of Productivity and Revenue,"[""['Loss of Productivity and Revenue']""]",Loss of Productivity and Revenue,0.804652668943377,0.999999999999999,1,,,,,,
In which kill chain phase is the 'Automated Collection' technique used?,Collection,"[""['Collection']""]",Collection,0,1,0.25,,,,,,
Identify a technique with 'evasion' as its kill chain phase.,Indicator Removal on Host,"[""['Indicator Removal on Host']""]",Indicator Removal on Host,0.7550453634959,1,1,,,,,,
What is the kill chain phase for the 'Loss of Safety' technique?,Impact,"[""['Impact']""]",Impact,0,1,1,,,,,,
Which technique's kill chain phase is 'evasion' and involves hiding indicators on the host?,Rootkit,"[""['Rootkit']""]",Indicator Removal on Host,0.776281186034869,0.786174957318502,0.196523900393412,,,,,,
Name a technique related to 'execution' in the kill chain.,Execution through API,"[""['Execution through API']""]",Execution through API,0,1,0.25,,,,,,
Which technique involves 'collection' and is related to I/O image capture?,I/O Image,"[""['I/O Image']""]",I/O Image,0,0.999999999999999,0.249999999999999,,,,,,
In which kill chain phase is the 'Network Service Scanning' technique used?,Discovery,"[""['Discovery']""]",Discovery,0,1,0.25,,,,,,
What is the kill chain phase for the 'Spearphishing Attachment' technique?,Initial-Access,"[""['Initial-Access']""]",Initial-access,0.770311055418664,0.950716196588325,0.98756304823333,,,,,,
Which technique's kill chain phase is 'execution' and uses AutoRun?,Autorun Image,"[""['Autorun Image']""]",Autorun Image,0,1,1,,,,,,
Name a technique related to 'collection' in the kill chain.,Automated Collection,"[""['Automated Collection']""]",Data Historian Compromise,0.82189940362563,0.763741546400048,0.190935386600012,,,,,,
What is the kill chain phase for the 'Drive-by Compromise' technique?,Initial-Access,"[""['Initial-Access']""]",Initial-access,0.759514710479174,0.950716196588325,0.987665858307205,,,,,,
Identify a technique with 'execution' as its kill chain phase.,Execution through API,"[""['Execution through API']""]",Execution,0,0.844490077454741,0.711122519363685,,,,,,
What phase in the kill chain does the technique 'Manipulation of View' belong to?,Impact,"[""['Impact']""]",Impact,0,1,1,,,,,,
Which technique is associated with 'collection' and involves serial connection enumeration?,Serial Connection Enumeration,"[""['Serial Connection Enumeration']""]",Serial Connection Enumeration,0.881388817028378,0.999999999999999,0.249999999999999,,,,,,
In which kill chain phase is the 'Loss of Productivity and Revenue' technique used?,Impact,"[""['Impact']""]",Impact,0,1,1,,,,,,
Which technique's kill chain phase is 'initial-access' and involves drive-by compromise?,Drive-by Compromise,"[""['Drive-by Compromise']""]",Drive-by Compromise,0.840554512515728,1,1,,,,,,
What is the kill chain phase for the 'Supply Chain Compromise' technique?,Initial-Access,"[""['Initial-Access']""]",Initial-access,0.75822765225357,0.950716196588325,0.987679049147081,,,,,,
Identify a technique with 'impact' as its kill chain phase.,Loss of Safety,"[""['Loss of Safety']""]",Loss of Safety,0,1,1,,,,,,
Which technique is used in the 'evasion' kill chain phase and involves rootkit?,Rootkit,"[""['Rootkit']""]",Rootkit,0.871737427025264,0.99999681043416,1,,,,,,
What kill chain phase is associated with the 'Data Destruction' technique?,Impact,"[""['Impact']""]",Inhibit-response-function,0,0.786230329028164,0.196544508631014,,,,,,
Name a technique related to 'initial-access' in the kill chain.,Spearphishing Attachment,"[""['Spearphishing Attachment']""]",Drive-by Compromise,0.785978442067511,0.759837085889853,0.939959271472463,,,,,,
Which technique's kill chain phase is 'collection' and involves I/O image?,I/O Image,"[""['I/O Image']""]",I/O Image,0,0.999999999999999,1,,,,,,
,,,,0.6204908955465948,0.8933657350458948,0.5824607954270958,,,,,,
,,,,,,,,,,answer_relevancy,answer_similarity,answer_correctness
,,,,,,,,GPT 4o,F,0.6204908955465948,0.8933657350458948,0.5824607954270958
,,,,,,,,,O,0.8089562986530591,0.9471578075940787,0.6482878772730352
,,,,,,,,,C,0.9141888181543841,0.9752969840718531,0.6402258271958021
,,,,,,,,,I,0.8667770861239008,0.9164962205977684,0.5528415004286285
